# slot_index,mcs,tbs_bytes,needs_retx,retx_count,harq_id
315,7,405,0,0,6
316,7,405,0,0,8
317,9,504,0,0,6
318,9,504,0,0,8
319,10,504,0,0,6
320,10,504,0,0,8
321,7,405,0,0,6
322,7,405,0,0,8
323,10,504,0,0,6
324,10,504,0,0,8
325,5,285,0,0,6
326,5,285,0,0,8
327,7,405,0,0,6
328,7,405,0,0,8
329,7,405,0,0,6
330,7,405,0,0,8
331,7,405,0,0,6
332,7,405,0,0,8
333,10,504,0,0,6
334,10,504,0,0,8
335,12,640,0,0,6
336,12,640,0,0,8
337,12,640,0,0,6
338,12,640,0,0,8
339,12,640,0,0,6
340,12,640,0,0,8
341,10,504,0,0,6
342,10,504,0,0,8
343,7,405,0,0,6
344,7,405,0,0,8
345,7,405,0,0,6
346,7,405,0,0,8
347,7,405,0,0,6
348,7,405,0,0,8
349,7,405,0,0,6
350,7,405,0,0,8
351,5,285,0,0,6
352,5,285,0,0,8
353,10,504,0,0,6
354,10,504,0,0,8
355,7,405,0,0,6
356,7,405,0,0,8
357,7,405,0,0,6
358,7,405,0,0,8
359,7,405,0,0,6
360,7,405,0,0,8
361,7,405,0,0,6
362,7,405,0,0,8
363,10,504,0,0,6
364,10,504,0,0,8
365,10,504,0,0,6
366,11,116,0,0,3
367,12,640,0,0,6
368,13,123,0,0,3
369,21,1377,0,0,6
370,13,30,0,0,3
371,15,912,0,0,6
372,9,20,0,0,3
373,13,736,0,0,6
374,13,736,0,0,8
375,11,560,0,0,6
376,11,560,0,0,8
377,13,736,0,0,6
378,13,736,0,0,8
379,11,560,0,0,6
380,11,560,0,0,8
381,11,560,0,0,6
382,11,560,0,0,8
383,18,1057,0,0,6
384,18,1057,0,0,8
385,13,736,0,0,6
386,13,736,0,0,8
387,13,736,0,0,6
388,13,736,0,0,8
389,13,736,0,0,6
390,13,736,0,0,8
391,15,912,0,0,6
392,15,912,0,0,8
393,8,453,0,0,6
394,8,453,0,0,8
395,13,736,0,0,6
396,13,736,0,0,8
397,8,453,0,0,6
398,8,453,0,0,8
399,22,1505,0,0,6
400,21,1377,0,0,8
401,11,560,0,0,6
402,11,560,0,0,8
403,22,1505,0,0,6
404,20,1281,0,0,6
405,11,560,0,0,8
406,11,560,0,0,6
407,16,976,0,0,8
408,16,976,0,0,6
409,9,504,0,0,8
410,9,504,0,0,6
411,9,504,0,0,8
412,9,504,0,0,6
413,13,736,0,0,8
414,13,736,0,0,6
415,20,1281,0,0,8
416,20,1281,0,0,1
417,6,333,0,0,6
418,6,333,0,0,1
419,11,560,0,0,6
420,11,560,0,0,1
421,20,1281,0,0,6
422,20,1281,0,0,1
423,13,736,0,0,6
424,13,736,0,0,1
425,16,976,0,0,6
426,16,976,0,0,1
427,13,736,0,0,6
428,13,736,0,0,1
429,11,560,0,0,6
430,11,560,0,0,1
431,14,816,0,0,6
432,14,816,0,0,1
433,12,640,0,0,6
434,12,640,0,0,1
435,12,640,0,0,6
436,12,640,0,0,1
437,14,816,0,0,6
438,14,816,0,0,1
439,21,1377,0,0,6
440,20,1281,0,0,6
441,11,560,0,0,1
442,11,560,0,0,6
443,13,736,0,0,1
444,13,736,0,0,6
445,20,1281,0,0,1
446,20,1281,0,0,6
447,20,1281,0,0,1
448,20,1281,0,0,6
449,13,736,0,0,1
450,13,736,0,0,6
451,11,560,0,0,1
452,11,560,0,0,6
453,18,1057,0,0,1
454,18,1057,0,0,6
455,18,1057,0,0,1
456,18,1057,0,0,6
457,11,560,0,0,1
458,11,560,0,0,6
459,13,736,0,0,1
460,13,736,0,0,6
461,13,736,0,0,1
462,13,736,0,0,6
463,20,1281,0,0,1
464,20,1281,0,0,6
465,13,736,0,0,1
466,13,736,0,0,6
467,18,1057,0,0,1
468,18,1057,0,0,6
469,18,1057,0,0,1
470,18,1057,0,0,6
471,20,1281,0,0,1
472,20,1281,0,0,6
473,18,1057,0,0,1
474,16,40,0,0,3
475,13,736,0,0,1
476,13,736,0,0,6
477,20,1281,0,0,1
478,20,1281,0,0,6
479,15,912,0,0,1
480,15,912,0,0,6
481,18,1057,0,0,1
482,18,1057,0,0,6
483,15,912,0,0,1
484,15,912,0,0,6
485,20,1281,0,0,1
486,20,1281,0,0,6
487,18,1057,0,0,1
488,18,1057,0,0,6
489,18,1057,0,0,1
490,18,1057,0,0,6
491,18,1057,0,0,1
492,18,1057,0,0,6
493,15,912,0,0,1
494,15,912,0,0,6
495,15,912,0,0,1
496,15,912,0,0,6
497,13,736,0,0,1
498,13,736,0,0,6
499,6,333,0,0,1
500,6,333,0,0,6
501,13,736,0,0,1
502,13,736,0,0,6
503,18,1057,0,0,1
504,18,1057,0,0,6
505,6,333,0,0,1
506,6,333,0,0,6
507,13,736,0,0,1
508,13,736,0,0,6
509,11,560,0,0,1
510,11,560,0,0,6
511,13,736,0,0,1
512,13,736,0,0,1
513,15,912,0,0,5
514,15,912,0,0,1
515,13,736,0,0,5
516,13,736,0,0,1
517,18,1057,0,0,5
518,18,1057,0,0,1
519,15,912,0,0,5
520,15,912,0,0,1
521,15,912,0,0,5
522,15,912,0,0,1
523,15,912,0,0,5
524,15,912,0,0,1
525,18,1057,0,0,5
526,18,1057,0,0,1
527,18,1057,0,0,5
528,18,1057,0,0,1
529,18,1057,0,0,5
530,18,1057,0,0,1
531,15,912,0,0,5
532,15,912,0,0,1
533,15,912,0,0,5
534,15,912,0,0,1
535,20,1281,0,0,5
536,20,1281,0,0,1
537,20,1281,0,0,5
538,20,1281,0,0,1
539,20,1281,0,0,5
540,20,1281,0,0,1
541,18,1057,0,0,5
542,18,1057,0,0,1
543,18,1057,0,0,5
544,18,1057,0,0,1
545,20,1281,0,0,5
546,20,1281,0,0,2
547,6,333,0,0,1
548,6,333,0,0,2
549,18,1057,0,0,1
550,18,1057,0,0,2
551,20,1281,0,0,1
552,20,1281,0,0,2
553,15,912,0,0,1
554,15,912,0,0,2
555,15,912,0,0,1
556,15,912,0,0,2
557,18,1057,0,0,1
558,18,1057,0,0,2
559,18,1057,0,0,1
560,18,1057,0,0,2
561,18,1057,0,0,1
562,18,1057,0,0,2
563,18,1057,0,0,1
564,18,1057,0,0,2
565,20,1281,0,0,1
566,20,1281,0,0,2
